Date,Bill Number,Item Description,Time,Quantity,Rate,Tax,Discount,Total,Category
2023-01-01,B1000,Salad,04:37:25,3,7.0,1.68,0.0,22.68,Food
2023-01-01,B1001,Salad,00:32:57,3,3.5,0.84,1.05,10.29,Food
2023-01-01,B1002,Pastry,20:27:30,3,7.0,1.68,0.0,22.68,Food
2023-01-01,B1003,Sandwich,02:20:16,3,5.0,1.2,0.0,16.2,Food
2023-01-01,B1004,Tea,02:25:02,2,5.0,0.8,0.5,10.3,Beverage
2023-01-01,B1005,Sandwich,01:08:00,1,2.5,0.2,0.12,2.58,Food
2023-01-01,B1006,Salad,14:19:40,1,2.5,0.2,0.25,2.45,Food
2023-01-01,B1007,Pastry,17:07:07,3,3.5,0.84,1.05,10.29,Food
2023-01-01,B1008,Sandwich,21:59:32,1,3.5,0.28,0.0,3.78,Food
2023-01-01,B1009,Pastry,02:13:39,3,4.5,1.08,0.0,14.58,Food
2023-01-01,B1010,Tea,21:12:21,1,3.0,0.24,0.15,3.09,Beverage
2023-01-01,B1011,Coffee,11:05:04,2,4.5,0.72,0.45,9.27,Beverage
2023-01-01,B1012,Sandwich,17:52:48,3,6.0,1.44,0.0,19.44,Food
2023-01-01,B1013,Pastry,07:34:23,2,2.5,0.4,0.25,5.15,Food
2023-01-01,B1014,Sandwich,02:23:38,2,5.0,0.8,0.5,10.3,Food
2023-01-01,B1015,Tea,20:15:21,2,3.0,0.48,0.3,6.18,Beverage
2023-01-01,B1016,Sandwich,13:34:12,2,4.0,0.64,0.4,8.24,Food
2023-01-01,B1017,Sandwich,08:20:21,1,7.0,0.56,0.0,7.56,Food
2023-01-01,B1018,Salad,04:15:55,2,4.5,0.72,0.45,9.27,Food
2023-01-01,B1019,Coffee,22:21:26,1,8.0,0.64,0.0,8.64,Beverage
2023-01-01,B1020,Salad,02:30:20,1,8.0,0.64,0.8,7.84,Food
2023-01-01,B1021,Coffee,22:20:34,1,7.0,0.56,0.7,6.86,Beverage
2023-01-01,B1022,Pastry,05:55:06,3,2.5,0.6,0.75,7.35,Food
2023-01-01,B1023,Pastry,07:04:22,1,4.5,0.36,0.22,4.64,Food
2023-01-01,B1024,Tea,02:14:59,1,6.0,0.48,0.0,6.48,Beverage
2023-01-01,B1025,Sandwich,17:39:49,2,2.5,0.4,0.5,4.9,Food
2023-01-01,B1026,Salad,15:13:50,3,7.0,1.68,1.05,21.63,Food
2023-01-01,B1027,Pastry,23:37:28,3,2.5,0.6,0.75,7.35,Food
2023-01-01,B1028,Salad,13:30:25,3,3.5,0.84,0.0,11.34,Food
2023-01-01,B1029,Salad,12:09:05,2,6.0,0.96,1.2,11.76,Food
2023-01-01,B1030,Pastry,15:40:05,1,3.5,0.28,0.35,3.43,Food
2023-01-01,B1031,Coffee,07:36:03,1,4.0,0.32,0.2,4.12,Beverage
2023-01-01,B1032,Salad,22:26:08,3,6.0,1.44,0.0,19.44,Food
2023-01-01,B1033,Pastry,08:03:11,1,4.0,0.32,0.0,4.32,Food
2023-01-01,B1034,Pastry,05:33:34,3,5.0,1.2,0.75,15.45,Food
2023-01-01,B1035,Tea,21:47:30,1,8.0,0.64,0.0,8.64,Beverage
2023-01-01,B1036,Sandwich,22:26:32,2,6.0,0.96,0.0,12.96,Food
2023-01-01,B1037,Coffee,07:48:06,1,8.0,0.64,0.8,7.84,Beverage
2023-01-01,B1038,Coffee,18:26:14,1,8.0,0.64,0.8,7.84,Beverage
2023-01-01,B1039,Pastry,04:53:00,1,4.5,0.36,0.0,4.86,Food
2023-01-01,B1040,Pastry,23:15:55,2,7.0,1.12,1.4,13.72,Food
2023-01-01,B1041,Pastry,08:35:52,2,7.0,1.12,0.0,15.12,Food
2023-01-01,B1042,Sandwich,05:17:34,1,2.5,0.2,0.12,2.58,Food
2023-01-01,B1043,Sandwich,06:44:34,2,6.0,0.96,0.6,12.36,Food
2023-01-01,B1044,Pastry,10:56:36,1,4.5,0.36,0.0,4.86,Food
2023-01-01,B1045,Coffee,05:31:49,3,2.5,0.6,0.38,7.72,Beverage
2023-01-01,B1046,Tea,23:51:10,2,6.0,0.96,0.0,12.96,Beverage
2023-01-01,B1047,Coffee,02:45:19,1,3.5,0.28,0.18,3.6,Beverage
2023-01-01,B1048,Tea,08:28:13,1,5.0,0.4,0.5,4.9,Beverage
2023-01-01,B1049,Sandwich,10:39:13,3,7.0,1.68,2.1,20.58,Food
2023-01-01,B1050,Coffee,16:50:41,3,5.0,1.2,0.0,16.2,Beverage
2023-01-01,B1051,Sandwich,13:06:09,2,5.0,0.8,0.5,10.3,Food
2023-01-01,B1052,Pastry,01:36:36,3,2.5,0.6,0.0,8.1,Food
2023-01-01,B1053,Sandwich,01:12:20,3,5.0,1.2,0.0,16.2,Food
2023-01-01,B1054,Pastry,10:02:03,3,4.0,0.96,1.2,11.76,Food
2023-01-01,B1055,Tea,20:06:39,3,3.5,0.84,1.05,10.29,Beverage
2023-01-01,B1056,Sandwich,11:10:41,1,2.5,0.2,0.25,2.45,Food
2023-01-01,B1057,Tea,04:29:36,1,8.0,0.64,0.0,8.64,Beverage
2023-01-01,B1058,Tea,14:32:56,3,3.5,0.84,1.05,10.29,Beverage
2023-01-01,B1059,Sandwich,10:27:38,2,8.0,1.28,0.0,17.28,Food
2023-01-01,B1060,Tea,23:21:36,1,4.5,0.36,0.0,4.86,Beverage
2023-01-01,B1061,Pastry,17:06:24,3,8.0,1.92,0.0,25.92,Food
2023-01-01,B1062,Pastry,23:34:16,3,3.5,0.84,0.52,10.82,Food
2023-01-01,B1063,Coffee,15:06:42,3,2.5,0.6,0.38,7.72,Beverage
2023-01-01,B1064,Sandwich,13:32:47,2,3.5,0.56,0.35,7.21,Food
2023-01-01,B1065,Coffee,05:27:29,3,8.0,1.92,0.0,25.92,Beverage
2023-01-01,B1066,Tea,07:10:42,2,3.0,0.48,0.3,6.18,Beverage
2023-01-01,B1067,Pastry,13:36:45,1,8.0,0.64,0.0,8.64,Food
2023-01-01,B1068,Sandwich,00:17:39,1,4.5,0.36,0.45,4.41,Food
2023-01-01,B1069,Pastry,05:51:53,1,2.5,0.2,0.25,2.45,Food
2023-01-01,B1070,Pastry,23:08:56,2,6.0,0.96,0.6,12.36,Food
2023-01-01,B1071,Salad,17:10:23,3,5.0,1.2,1.5,14.7,Food
2023-01-01,B1072,Pastry,07:19:32,2,4.5,0.72,0.45,9.27,Food
